# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Full Version
# File: E:\altera\13.1\lab\lab3\lab3.csv
# Generated on: Sun Nov 24 11:17:53 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
HEX2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,,,,,
HEX2[3],Output,PIN_W26,5,B5_N1,PIN_W26,,,,,
HEX2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,,,,,
HEX2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,,,,,
HEX2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,,,,,
HEX3[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,,,,,
HEX3[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,,,,,
HEX3[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,,,,,
HEX3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,,,,,
HEX3[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,,,,,
HEX3[1],Output,PIN_U21,5,B5_N0,PIN_U21,,,,,
HEX3[0],Output,PIN_V21,5,B5_N1,PIN_V21,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,,,,,
HEX4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,,,,,
HEX5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,,,,,
HEX6[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,,,,,
KEY0,Input,PIN_M23,6,B6_N2,PIN_M23,,,,,
KEY1,Input,PIN_M21,6,B6_N1,PIN_M21,,,,,
SW[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,,,,,
SW[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,,,,,
SW[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,,,,,
SW[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,,,,,
SW[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,,,,,
SW[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,,,,,
SW[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,,,,,
SW[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,,,,,
KEY2,Unknown,PIN_N21,6,B6_N2,,,,,,
